id	disease_name_cn	disease_name_entry_cn
4362	锁骨骨折	锁子骨伤
7723	肩关节结核	
2828	脊柱骨折	
11387	先天性锁骨假关节	
11528	足舟状骨骨软骨病	
21	软骨发育不全	软骨营养不良性侏儒|软骨营养障碍性侏儒|Grebe综合征|巴西人软骨发育不全综合征|短肢体侏儒综合征|Grudzinski 综合征|Lawen-Roth 综合征|Silverskeld肢体骨软骨营养障碍综合征|Silversksld 综合征|巴西人软骨发育不全型综合征|呆小病样骨软骨病|多发性骨软骨异常|偏心性骨软骨发育异常|软骨发育不全Ⅱ型综合征|软骨发育不全性侏儒|软骨营养障碍|胎儿性软骨发育不良|Brazilian型软骨生成不全
11367	膝关节内外侧副韧带损伤	
5473	股骨干骨折	
10987	跟骨骨髓炎	
796	硬结红斑	
7737	绞架性骨折或外伤性枢椎椎弓骨折	创伤性枢椎滑脱|绞刑架骨折
6064	肌阵挛-站立不能发作癫痫	
8141	老年人原发性骨髓纤维化	老年原发性骨髓纤维化
1886	甲沟炎	
12452	急性滑脱性髌骨关节撞击综合征	
3003	线粒体脑肌病	
7106	第Ⅰ型脊髓血管畸形	脊髓硬膜A、V血管畸形
4364	髋关节脱位	
4320	肌张力障碍	肌张力障碍综合征|肌紧张不足综合征|肌张力障碍综合症
553	颅面骨发育不全	颅面骨发育不全症|颅面骨发育不全综合征|Crouzon面骨形成不全症|Apert-Crouzon综合征|Vir-chow尖头综合征|Vogt尖头并指(趾)综合征|尖头征|颅面部发育不良
5485	月骨无菌性坏死	Kienbock病|月骨缺血性坏死|慢性骨炎|损伤性骨炎|腕月骨骨软骨病|腕月骨缺血性坏死|腕月骨无菌性坏死|月骨骨质软化症|月骨损伤性骨炎|月骨损伤性骨质疏松症|月骨压缩性骨炎
4283	骨前倾	
34	肢端肥大症	肢端肥大性巨人症|肢端肥大|垂体嗜酸细胞腺瘤|垂体前叶分泌过多症
7144	多发性骨骺发育不良	Catel病|Blount-Barbers综合征|Jansen型干骺端软骨发育不全|Jansen型侏儒|Jansen综合征|Schmidt(Ⅱ)综合征|多发性骨骺、骨软骨营养不良|多发性骨骺成骨不全|多发性骨骺发育异常|多发性骨软骨炎|多数性骨骺发育异常|干骺端发育不全|骨骺端或骨不全综合征|骨骺发育不良|骨骺内生软骨发育障碍|磷酸酶过少综合征|晚发多发性骨骺结构不良
302	骨质吸收	
12461	先天性小指弯曲	Kirner综合征|对称性小指末节弯曲（家族性)|钩形指|钩状小指|屈曲指|下垂指|远端指节异常
12477	距骨后唇骨折	Sheperd骨折|距骨后突骨折|距骨外侧突骨折
1465	脊柱前凸	
4028	短指发育不良	
3551	肘管综合征	迟发性尺神经炎|肘管综合症|迟发性尺神经麻痹|尺神经炎|创伤性尺神经炎|肘部尺神经挤压伤麻痹|自发性尺神经麻痹
875	Felty综合征	费尔蒂综合征|类风温性关节炎脾大-白细胞减少型|费尔蒂综合症|费耳提氏综合征|费耳提综合征|类风湿关节炎伴脾大白细胞减少|脾肿大性多关节炎|Chauffard-Still综合征|Chauffard综合征|伴脾大白细胞减少的类风湿综合征|关节炎-粒细胞减少-脾大综合征|类风湿关节炎合并脾功能亢进|类风湿关节炎脾大综合征|晚发型类风湿关节炎|原发性脾性合并关节炎的中性白细胞减少症
4123	Weill-Marchesani综合征	
2420	致死性发育不良	
12463	腋神经浅支卡压综合征	
1623	粘脂质累积病	
12457	示指伸肌腱综合征	示指固有伸肌腱综合征|示指伸肌腱综合征|鼠标综合征
12521	家族性特发性骨关节病	特发性骨关节病和颅骨缺损
9467	小儿骨肉瘤	小儿成骨肉瘤|小儿骨源性肉瘤
11384	先天性颈椎齿状突畸形	
5480	趾骨骨折	
555	颅缝早闭	狭颅症|颅缝骨化症|颅狭症
1666	肌红蛋白尿	
9472	小儿关节过度活动综合征	小儿关节过度活动综合症|小儿关节松弛|小儿关节松弛症
4367	慢性软骨损伤	
7728	肩袖间隙分裂	
3795	髌骨软骨软化症	髌骨软化|髌股关节骨软骨病|髌骨软骨自发骨折|原发性髌骨软骨软化症
5949	进行性脊肌萎缩	进行性肌萎缩症|AranDuchenne肌萎缩症
928	开放性骨折	
8910	舒尔曼病	脊椎骨骺骨软骨病
6084	肩胛腓骨型肌营养不良	
4031	支气管软化	
8034	老年人脊髓压迫症	老年脊髓压迫症|老年人脊髓压迫
5335	硬化性骨髓炎	慢性硬化性颌骨骨髓炎|慢性非化脓性硬化性骨髓炎|Garre硬化性骨髓炎|Garrè颌骨骨髓炎|Garre非化脓性硬化性骨髓炎|Garre型骨髓炎|Garre硬化型骨髓炎|干性骨髓炎|骨赘性增殖症|加利骨髓炎|弥散性硬化性骨髓炎|硬化型骨髓炎
5440	颌间挛缩	颞下颌关节外强直|假性颞下颌关节强直|假性关节强直
10510	舟骨骨折	腕舟骨骨折|腕舟状骨骨折
12456	三角肌挛缩症	注射性三角肌痉挛症
6537	冈上肌综合征	肩袖破裂|冈上肌腱破裂
3287	关节痛	
5052	腰腿痛	
7803	颈丛神经卡压症	
7457	骨恶性纤维组织细胞瘤	骨恶化纤维组织细胞瘤|骨的恶性纤维组织细胞瘤
11001	骨溶解症	
10792	习惯性髌骨脱位	
453	巨颌症	家族性颌骨肥大|天使病|家族性颌骨纤维异常增殖症
4135	关节内骨折	
7823	胫骨应力骨折	胫骨应力性骨折
7028	创伤性骨化性肌炎	创伤性骨化|骨化性血肿|骨外局限性非肿瘤性骨软骨形成|肌性骨病|局限性骨化性肌炎|局限性异位骨化
4419	创伤骨科	
9941	小儿椎管内肿瘤	小儿脊髓瘤|小儿脊髓肿瘤
4417	脊柱外科	
153	胫前肌间隔综合征	
1799	口面指综合征	Papillon-Leage-Psaume 三氏综合征|口、指、面骨发育不良综合征|舌、面发育不良综合征
3695	肢端骨质溶解症	职业性硬皮病|肢端骨溶症|氯乙烯病|肢端性骨溶解症|Morvan病|脊髓空洞症伴上肢肢端营养不良|特发性骨质溶解症|特发性肢端骨溶解症|特殊性脊髓空洞症|无痛性瘭疽|遗传性感觉性神经根神经炎伴下肢断趾症
1810	骨软骨发育不良	
10584	髌股关节疼痛	
1084	关节积血	
2799	Langer-Giedion综合征	
6851	半椎体畸形	
10999	骨干续连症	
5907	腰三横突综合征	L3横突综合征|第3腰椎横突综合征|第3腰椎横突炎|第3腰椎横突滑膜囊炎|第3腰椎横突周围炎|第3腰椎横突过长综合征
1951	Pierre Robin综合征	
11246	桡骨、尺骨茎突骨折	
7483	腘动脉损伤	
11335	外伤后脑膨出	
4423	骨病	
7634	急性腰背部扭伤	急性腰扭伤|闪腰
1999	Poland综合征	胸大肌缺损|短指并指综合征|Poland并指征|poland畸形|乳房缺少症|乳房缺乏|乳房缺失|胸大肌缺损-短指并指综合征|Poland并指症|胸大肌缺损并指综合征|并指畸形-胸大肌缺乏综合征|Poland-Moebius综合征|Poland序列症|并指（趾)伴胸肌畸形|先天性胸肌缺失综合征
2221	坐骨神经痛	
7428	肱骨头骨折	
9892	小儿尤因肉瘤	小儿尤文瘤|小儿尤因氏肉瘤
4239	短指	短趾
5469	髋关节中心脱位	
2554	尺骨骨折	
199	关节炎	
7425	肱骨内髁骨折	
7818	颈椎椎弓裂	
7282	跗骨与周围关节结核	
1150	髋挛缩	
5972	原发性侧索硬化	
1784	囊性纤维性骨炎	纤维囊性骨炎|囊状纤维性骨炎|棕色瘤
2210	骨肉瘤	成骨源性肉瘤|原发恶性梭形细胞肿瘤
